iter	MultiClass
0	1.084554298
1	1.072413586
2	1.061962309
3	1.051954397
4	1.043032502
5	1.034840644
6	1.027273373
7	1.019882527
8	1.013619003
9	1.008009991
10	1.002485964
11	0.997533901
12	0.9930394279
13	0.9886865339
14	0.9848601641
15	0.9811274303
16	0.9775100145
17	0.9744150696
18	0.9710915071
19	0.9681110505
20	0.9657467425
21	0.9632846376
22	0.9605648208
23	0.9579225209
24	0.9554690578
25	0.9533865796
26	0.9512449234
27	0.9493364981
28	0.9474484898
29	0.9457020618
30	0.9438300789
31	0.9422330763
32	0.9405606412
33	0.9393163971
34	0.9382331451
35	0.9369983464
36	0.9356891663
37	0.9345704899
38	0.9335983746
39	0.9325803896
40	0.9316728188
41	0.9308816031
42	0.9297807609
43	0.9289143319
44	0.9281105616
45	0.9271300282
46	0.926447177
47	0.9258394037
48	0.9251409489
49	0.9242760525
50	0.923537171
51	0.9227869874
52	0.9223088417
53	0.921913033
54	0.9211968859
55	0.9205745781
56	0.9200699619
57	0.9193729991
58	0.9187179934
59	0.9180866457
60	0.9175784962
61	0.9170722238
62	0.9165370726
63	0.9160608369
64	0.9155105929
65	0.9148616865
66	0.9143960576
67	0.9139528252
68	0.9135845224
69	0.9132631823
70	0.9129340337
71	0.9124644849
72	0.9120836747
73	0.9117420078
74	0.9112893004
75	0.9109193496
76	0.910571271
77	0.9102776916
78	0.9099299403
79	0.9095995405
80	0.9091673375
81	0.9088334507
82	0.9084308202
83	0.9080641723
84	0.9078014501
85	0.9074526448
86	0.9072920195
87	0.907046048
88	0.9068656713
89	0.9065673302
90	0.9062015828
91	0.9058569025
92	0.9055700299
93	0.9051962931
94	0.9049660439
95	0.9046318927
96	0.9043224327
97	0.9040618913
98	0.9037553488
99	0.9034378842
100	0.903244875
101	0.9029673572
102	0.9027033089
103	0.902439608
104	0.9021776707
105	0.9019730596
106	0.901806225
107	0.9015589552
108	0.901322422
109	0.9010512129
110	0.900787681
111	0.9005717861
112	0.900422972
113	0.9001334613
114	0.899963198
115	0.899717772
116	0.8995266582
117	0.8992725322
118	0.8990102282
119	0.8987436153
120	0.898473325
121	0.8982410496
122	0.8980159892
123	0.8978282862
124	0.8976105216
125	0.8974127152
126	0.8972610324
127	0.8970411977
128	0.8968500273
129	0.8966807256
130	0.8964692152
131	0.8962844133
132	0.8960345429
133	0.8958540954
134	0.8956372996
135	0.8954615486
136	0.8953259839
137	0.8951154659
138	0.89490929
139	0.8946249385
140	0.8943911208
141	0.8942501901
142	0.8940811272
143	0.893945845
144	0.8937992577
145	0.8936235108
146	0.8934903858
147	0.8933740751
148	0.8931944995
149	0.8929565346
150	0.892799378
151	0.8926533714
152	0.8924800122
153	0.8922993746
154	0.8921091205
155	0.8919650119
156	0.891803672
157	0.8916399102
158	0.8914250785
159	0.8912792989
160	0.8911124348
161	0.8909710061
162	0.89076201
163	0.8906127679
164	0.8904608267
165	0.8902956216
166	0.8901173858
167	0.8900151848
168	0.8898767387
169	0.8897266494
170	0.8894924172
171	0.889304678
172	0.8892311467
173	0.8890369379
174	0.8888306366
175	0.8886953578
176	0.8885623129
177	0.8884017458
178	0.8881793489
179	0.8880673492
180	0.8879609462
181	0.8877872712
182	0.8876706241
183	0.8875139785
184	0.8874027587
185	0.8873256703
186	0.8872326231
187	0.8870468806
188	0.8869125443
189	0.8868001263
190	0.886621695
191	0.8864814938
192	0.8863941128
193	0.8862730542
194	0.8860248633
195	0.8857831212
196	0.8856066792
197	0.8855078337
198	0.8853949195
199	0.885206657
200	0.8849769481
201	0.8847975929
202	0.8846347063
203	0.8844461387
204	0.8843241862
205	0.8841337043
206	0.8839773677
207	0.88377957
208	0.883677524
209	0.8836211562
210	0.8834849242
211	0.8832753844
212	0.8830919342
213	0.8830235217
214	0.8828823396
215	0.8827458947
216	0.8825318077
217	0.8824392701
218	0.8823106493
219	0.8822121255
220	0.8820134605
221	0.881920201
222	0.8816777702
223	0.8815240066
224	0.8814195505
225	0.8813486539
226	0.8811763534
227	0.8809251822
228	0.8808157005
229	0.8806738528
230	0.8804287984
231	0.8802788512
232	0.8801038845
233	0.8799852224
234	0.8798220066
235	0.879566009
236	0.8794657558
237	0.8793048804
238	0.8791352344
239	0.8790017067
240	0.8788066007
241	0.8787030895
242	0.8785108928
243	0.8783444957
244	0.8782614664
245	0.8781529652
246	0.8780075539
247	0.8778497553
248	0.8776890158
249	0.8775053339
250	0.8774099238
251	0.8772973209
252	0.8771276078
253	0.8769691165
254	0.8767722755
255	0.8766552615
256	0.8765254529
257	0.8762959342
258	0.8761357498
259	0.8759628069
260	0.8758221571
261	0.8757316801
262	0.8755743563
263	0.875419652
264	0.8752717887
265	0.8751596774
266	0.8749406055
267	0.8747581245
268	0.8746468636
269	0.8744664984
270	0.8743580092
271	0.8742007844
272	0.8740378541
273	0.8738752834
274	0.8737085081
275	0.8735635705
276	0.8734638381
277	0.8733398039
278	0.8731809057
279	0.8729110755
280	0.8727366125
281	0.872581794
282	0.8724127461
283	0.8722653251
284	0.8721062946
285	0.8719354068
286	0.8717563766
287	0.8716176078
288	0.8714473316
289	0.871309418
290	0.8711172302
291	0.8709818323
292	0.8708353809
293	0.8707088276
294	0.8704217374
295	0.8702921084
296	0.8701599421
297	0.8700320257
298	0.8698642798
299	0.8697458502
300	0.8695495926
301	0.8694251874
302	0.8693475406
303	0.8691729681
304	0.8690902395
305	0.8689677589
306	0.8688686864
307	0.8687284366
308	0.8686217349
309	0.8685217882
310	0.8683076244
311	0.8681883018
312	0.8680295116
313	0.8679352638
314	0.8677946062
315	0.8675959775
316	0.867467991
317	0.8672929029
318	0.8671511016
319	0.8669499404
320	0.8667990501
321	0.8666982153
322	0.866589547
323	0.8664699306
324	0.8662671279
325	0.8661480926
326	0.8660158359
327	0.8658825856
328	0.8657735304
329	0.8656638037
330	0.8654466345
331	0.865327338
332	0.8651883857
333	0.8651069523
334	0.8649325132
335	0.8647333598
336	0.8645895615
337	0.8644656581
338	0.8643696173
339	0.8642032078
340	0.8640796996
341	0.8640075667
342	0.8638741027
343	0.863690692
344	0.8635598735
345	0.8634911877
346	0.8633832829
347	0.8632464669
348	0.8630435545
349	0.8628955049
350	0.8627349995
351	0.862636537
352	0.8625346059
353	0.8624015124
354	0.862261303
355	0.8621605464
356	0.8620875079
357	0.8620221734
358	0.8619401279
359	0.8618080236
360	0.8617179019
361	0.8616334235
362	0.8614879492
363	0.8613670203
364	0.8612828997
365	0.8611325522
366	0.8609906117
367	0.8608659255
368	0.8607097331
369	0.860594561
370	0.8604469913
371	0.8603066424
372	0.860136914
373	0.8600139621
374	0.8598628564
375	0.8597366946
376	0.8595828211
377	0.8594640249
378	0.8593469635
379	0.8591475436
380	0.8590215759
381	0.8589221559
382	0.8587502483
383	0.8585651042
384	0.8584001195
385	0.8582942502
386	0.8581980828
387	0.8580734432
388	0.857948345
389	0.8578635688
390	0.8577514092
391	0.8576054764
392	0.857506654
393	0.8573139744
394	0.8571608286
395	0.856994761
396	0.8568628505
397	0.8567228407
398	0.8566071616
399	0.8564993417
400	0.8563779746
401	0.8562375858
402	0.8561384915
403	0.8560296973
404	0.8558800888
405	0.8557671836
406	0.8556656321
407	0.8554821013
408	0.8553496527
409	0.8552234946
410	0.8551237986
411	0.855042792
412	0.8549191597
413	0.8547615517
414	0.8545549239
415	0.8544270955
416	0.8542958703
417	0.8541142041
418	0.8540635352
419	0.853951933
420	0.8538435591
421	0.8537266842
422	0.8535908882
423	0.8534121019
424	0.8532300669
425	0.8531266559
426	0.8529973939
427	0.8528233811
428	0.8527165966
429	0.8526017307
430	0.8524946567
431	0.8523386109
432	0.852131598
433	0.8520154351
434	0.8518809224
435	0.8517843915
436	0.851658448
437	0.8515197655
438	0.8513288418
439	0.8511726271
440	0.8510170484
441	0.8508183548
442	0.8506137273
443	0.8504725396
444	0.8503655536
445	0.8502086052
446	0.8500281391
447	0.8498635159
448	0.8497334504
449	0.8496391057
450	0.8494827299
451	0.8493709436
452	0.8492408362
453	0.8491059472
454	0.8489859236
455	0.848921488
456	0.8488201405
457	0.8486838725
458	0.8485496078
459	0.8484355501
460	0.8483540787
461	0.8482772081
462	0.8481645189
463	0.848067899
464	0.8479141057
465	0.8477925097
466	0.8476505944
467	0.8475529178
468	0.8474039531
469	0.8472486644
470	0.8471252486
471	0.8470456074
472	0.846932512
473	0.8468285545
474	0.8466888947
475	0.8465809895
476	0.8464838747
477	0.8463044142
478	0.8462166323
479	0.8460698633
480	0.8459863839
481	0.8458922494
482	0.8456880945
483	0.8456134188
484	0.8454581662
485	0.8453792318
486	0.8452593645
487	0.8451456263
488	0.8450249034
489	0.8449490896
490	0.8448152479
491	0.8446757862
492	0.8445127218
493	0.844448095
494	0.8442687759
495	0.844103714
496	0.8439795602
497	0.8438338722
498	0.8437415467
499	0.8435637597
