iter	Passed	Remaining
0	704	351719
1	1099	273864
2	1568	259902
3	2042	253290
4	2403	237972
5	2722	224157
6	3056	215272
7	3406	209530
8	3786	206577
9	4148	203267
10	4433	197091
11	4714	191722
12	5025	188274
13	5327	184951
14	5613	181488
15	5872	177650
16	6165	175166
17	6462	173063
18	6765	171279
19	7059	169418
20	7320	166969
21	7631	165817
22	7937	164623
23	8267	163975
24	8584	163110
25	8891	162100
26	9210	161348
27	9522	160527
28	9827	159612
29	10129	158701
30	10435	157884
31	10744	157141
32	11065	156594
33	11363	155744
34	11662	154941
35	11951	154036
36	12224	152968
37	12560	152706
38	12876	152208
39	13189	151681
40	13490	151025
41	13790	150384
42	14116	150033
43	14438	149632
44	14757	149216
45	15085	148887
46	15399	148426
47	15691	147760
48	16003	147297
49	16444	148001
50	16795	147865
51	17124	147533
52	17425	146965
53	17727	146416
54	18032	145902
55	18344	145445
56	18644	144904
57	18983	144667
58	19308	144324
59	19634	143989
60	19957	143629
61	20270	143198
62	20589	142817
63	20922	142531
64	21237	142129
65	21559	141770
66	21949	141850
67	22379	142178
68	22688	141722
69	22990	141225
70	23305	140816
71	23629	140462
72	23932	139987
73	24247	139586
74	24568	139219
75	24876	138786
76	25193	138402
77	25498	137951
78	25805	137519
79	26116	137112
80	26439	136768
81	26747	136348
82	27042	135864
83	27364	135517
84	27663	135064
85	27967	134634
86	28232	134023
87	28508	133470
88	28791	132956
89	29075	132453
90	29358	131951
91	29642	131459
92	29935	131008
93	30223	130539
94	30525	130136
95	30841	129790
96	31156	129444
97	31499	129211
98	31790	128767
99	32128	128512
100	32417	128063
101	32688	127548
102	32981	127123
103	33292	126766
104	33604	126418
105	33906	126028
106	34195	125594
107	34483	125161
108	34774	124740
109	35072	124349
110	35409	124092
111	35700	123675
112	35957	123145
113	36228	122669
114	36525	122280
115	36892	122125
116	37264	121985
117	37573	121636
118	37838	121146
119	38126	120733
120	38406	120299
121	38687	119866
122	38944	119367
123	39238	118981
124	39515	118546
125	39778	118071
126	40047	117618
127	40315	117167
128	40601	116768
129	40903	116416
130	41173	115975
131	41469	115610
132	41736	115168
133	42027	114790
134	42342	114480
135	42636	114115
136	42966	113845
137	43265	113494
138	43560	113131
139	43860	112783
140	44159	112435
141	44444	112049
142	44729	111666
143	45019	111299
144	45306	110922
145	45602	110571
146	45899	110221
147	46200	109883
148	46509	109562
149	46808	109219
150	47098	108856
151	47390	108498
152	47657	108086
153	47942	107714
154	48247	107389
155	48551	107063
156	48847	106716
157	49109	106301
158	49392	105929
159	49667	105542
160	49922	105116
161	50194	104727
162	50490	104388
163	50818	104116
164	51135	103821
165	51427	103474
166	51727	103145
167	52021	102804
168	52326	102486
169	52618	102142
170	52900	101779
171	53174	101401
172	53433	100997
173	53710	100629
174	53991	100269
175	54283	99931
176	54568	99580
177	54866	99253
178	55157	98914
179	55443	98565
180	55738	98235
181	56045	97925
182	56309	97541
183	56577	97166
184	56833	96770
185	57104	96402
186	57399	96075
187	57701	95760
188	58000	95440
189	58442	95352
190	58730	95013
191	59015	94670
192	59272	94282
193	59544	93920
194	59811	93551
195	60073	93175
196	60344	92813
197	60614	92452
198	60899	92113
199	61164	91746
200	61439	91394
201	61710	91037
202	61975	90673
203	62247	90319
204	62506	89949
205	62776	89593
206	63041	89232
207	63303	88868
208	63565	88504
209	63840	88160
210	64110	87810
211	64388	87471
212	64662	87128
213	64926	86770
214	65189	86414
215	65455	86061
216	65728	85719
217	65994	85369
218	66253	85010
219	66512	84652
220	66768	84291
221	67027	83935
222	67299	83596
223	67564	83249
224	67819	82889
225	68080	82540
226	68354	82206
227	68622	81865
228	68882	81515
229	69144	81169
230	69415	80834
231	69683	80496
232	69947	80154
233	70207	79808
234	70486	79484
235	70764	79160
236	71035	78828
237	71302	78492
238	71571	78160
239	71853	77841
240	72174	77564
241	72458	77249
242	72754	76945
243	73045	76637
244	73352	76346
245	73638	76033
246	73942	75738
247	74364	75564
248	74647	75246
249	74913	74913
250	75197	74598
251	75487	74289
252	75771	73974
253	76064	73669
254	76373	73378
255	76646	73053
256	76911	72721
257	77223	72434
258	77573	72182
259	77893	71901
260	78222	71629
261	78574	71376
262	78932	71129
263	79261	70854
264	79585	70576
265	79942	70325
266	80296	70071
267	80615	69786
268	80912	69482
269	81259	69221
270	81605	68958
271	81932	68678
272	82308	68439
273	82719	68228
274	83140	68023
275	83484	67755
276	83794	67459
277	84121	67175
278	84423	66873
279	84743	66583
280	85132	66348
281	85439	66048
282	85790	65782
283	86124	65503
284	86468	65230
285	86797	64946
286	87155	64683
287	87535	64435
288	87899	64175
289	88193	63864
290	88542	63592
291	88841	63284
292	89156	62987
293	89438	62668
294	89793	62399
295	90179	62150
296	90498	61855
297	90837	61574
298	91206	61312
299	91506	61004
300	91800	60692
301	92071	60364
302	92359	60048
303	92650	59735
304	92952	59428
305	93255	59122
306	93544	58807
307	93818	58483
308	94114	58174
309	94397	57856
310	94688	57543
311	94979	57230
312	95295	56933
313	95622	56642
314	95910	56328
315	96209	56020
316	96504	55710
317	96798	55400
318	97090	55088
319	97411	54793
320	97708	54485
321	98010	54179
322	98295	53864
323	98576	53547
324	98846	53225
325	99121	52905
326	99389	52582
327	99657	52259
328	99922	51935
329	100275	51657
330	100594	51360
331	100855	51035
332	101137	50720
333	101396	50394
334	101664	50073
335	101941	49757
336	102213	49438
337	102489	49122
338	102764	48805
339	103065	48501
340	103398	48212
341	103721	47918
342	104068	47634
343	104372	47331
344	104664	47022
345	104923	46700
346	105186	46379
347	105465	46065
348	105761	45759
349	106033	45443
350	106311	45129
351	106585	44814
352	106862	44501
353	107142	44188
354	107439	43883
355	107738	43579
356	108005	43262
357	108289	42952
358	108562	42638
359	108849	42330
360	109152	42028
361	109443	41721
362	109749	41420
363	110050	41117
364	110332	40807
365	110633	40505
366	110922	40198
367	111202	39887
368	111472	39574
369	111736	39258
370	112031	38954
371	112344	38656
372	112633	38349
373	112907	38038
374	113199	37733
375	113477	37423
376	113752	37112
377	114040	36806
378	114320	36497
379	114594	36187
380	114860	35874
381	115163	35574
382	115481	35277
383	115757	34968
384	116051	34664
385	116344	34360
386	116648	34060
387	116923	33751
388	117204	33444
389	117490	33138
390	117766	32830
391	118045	32522
392	118318	32214
393	118601	31907
