event_id,home_team,away_team,league,country,date,time,kickoff,venue,source,scraped_at,odds_home,odds_draw,odds_away,odds_over_05,odds_under_05,odds_over_15,odds_under_15,odds_over_25,odds_under_25,odds_over_35,odds_under_35,odds_over_45,odds_under_45,odds_btts_yes,odds_btts_no,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_dnb_home,odds_dnb_away,odds_htft_1_1,odds_htft_1_x,odds_htft_1_2,odds_htft_x_1,odds_htft_x_x,odds_htft_x_2,odds_htft_2_1,odds_htft_2_x,odds_htft_2_2,odds_cs_1_0,odds_cs_2_0,odds_cs_2_1,odds_cs_3_0,odds_cs_3_1,odds_cs_3_2,odds_cs_0_0,odds_cs_1_1,odds_cs_2_2,odds_cs_0_1,odds_cs_0_2,odds_cs_1_2,odds_cs_0_3,odds_cs_1_3,odds_cs_2_3,odds_ah_home_minus_15,odds_ah_away_plus_15,odds_ah_home_minus_10,odds_ah_away_plus_10,odds_ah_home_minus_05,odds_ah_away_plus_05,odds_ah_home_plus_05,odds_ah_away_minus_05,odds_ht_over_05,odds_ht_under_05,odds_ht_btts_yes,odds_ht_btts_no
sr:match:61300979,Brighton,Everton,Premier League,,2026-01-31,15:00:00,2026-01-31T15:00:00,Brighton Stadium,sportybet,2026-01-31T10:28:15.027271,1.9,3.78,4.35,1.06,10.5,1.3,3.7,1.91,1.93,3.25,1.37,6.3,1.13,1.82,2.0,1.24,1.89,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300983,Leeds United,Arsenal,Premier League,,2026-01-31,15:00:00,2026-01-31T15:00:00,Leeds United Stadium,sportybet,2026-01-31T10:28:15.027434,6.34,4.37,1.58,1.06,10.5,1.31,3.6,1.92,1.92,3.3,1.35,6.4,1.13,2.05,1.8,2.35,1.15,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300995,Wolves,Bournemouth,Premier League,,2026-01-31,15:00:00,2026-01-31T15:00:00,Wolves Stadium,sportybet,2026-01-31T10:28:15.027573,3.09,3.54,2.41,1.05,11.0,1.27,4.0,1.84,2.0,3.0,1.4,5.9,1.15,1.68,2.2,1.58,1.39,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300981,Chelsea,West Ham,Premier League,,2026-01-31,17:30:00,2026-01-31T17:30:00,Chelsea Stadium,sportybet,2026-01-31T10:28:15.027709,1.59,4.76,5.56,1.02,15.5,1.16,5.6,1.51,2.65,2.25,1.68,3.8,1.29,1.61,2.35,1.17,2.3,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300985,Liverpool,Newcastle,Premier League,,2026-01-31,20:00:00,2026-01-31T20:00:00,Liverpool Stadium,sportybet,2026-01-31T10:28:15.027848,1.8,4.19,4.4,1.03,14.0,1.19,5.1,1.59,2.45,2.4,1.6,4.25,1.24,1.59,2.4,1.23,1.99,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300977,Aston Villa,Brentford,Premier League,,2026-02-01,14:00:00,2026-02-01T14:00:00,Aston Villa Stadium,sportybet,2026-01-31T10:28:15.027997,2.16,3.6,3.57,1.05,11.0,1.26,4.0,1.83,2.05,3.0,1.42,5.75,1.16,1.69,2.2,1.32,1.7,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300987,Man Utd,Fulham,Premier League,,2026-02-01,14:00:00,2026-02-01T14:00:00,Man Utd Stadium,sportybet,2026-01-31T10:28:15.028130,1.62,4.56,5.41,1.04,13.0,1.22,4.5,1.68,2.25,2.7,1.5,4.9,1.2,1.76,2.1,1.18,2.25,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300989,Nottingham Forest,Crystal Palace,Premier League,,2026-02-01,14:00:00,2026-02-01T14:00:00,Nottingham Forest Stadium,sportybet,2026-01-31T10:28:15.028278,2.03,3.61,4.0,1.07,9.5,1.34,3.4,2.05,1.82,3.6,1.32,7.1,1.11,1.87,1.94,1.27,1.78,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:61300993,Tottenham,Man City,Premier League,,2026-02-01,16:30:00,2026-02-01T16:30:00,Tottenham Stadium,sportybet,2026-01-31T10:28:15.028405,4.59,4.18,1.78,1.04,13.0,1.21,4.7,1.65,2.3,2.6,1.53,4.7,1.21,1.65,2.25,2.0,1.22,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr:match:65905652,Sunderland AFC,Burnley,Premier League,,2026-02-02,20:00:00,2026-02-02T20:00:00,Sunderland AFC Stadium,sportybet,2026-01-31T10:28:15.028530,1.78,3.59,4.97,1.08,7.9,1.41,2.95,2.25,1.66,4.1,1.24,8.25,1.08,2.15,1.72,1.19,1.97,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
